rank_th (article),time_std (article),rank_th (event),time_std (event),language,SUM F1,F1 (standard),P (standard),R (standard),F1 (bcubed),P (bcubed),R (bcubed),clusters
0.7,3,0.9,1,,0.8240625928478549,0.2419280812638587,0.7732317698207911,0.14339700561120142,0.5821345115839962,0.8320425682667009,0.44767356561920707,2954
0.7,1,0.9,1,,0.8304918432736708,0.24871611196826093,0.7801610896017699,0.14793971891551733,0.5817757313054098,0.8298943517877763,0.44787252643243064,2950
0.7,3,0.85,1,,0.8924346318609824,0.3109821119955286,0.6168756017622516,0.20789304630552205,0.5814525198654538,0.6664781306058568,0.5156666123601343,1731
0.8,1,0.9,1,,0.8256955336475726,0.24601396940429796,0.7817387183402664,0.14597645393046305,0.5796815642432747,0.8305675673979405,0.4452014582863215,2942
0.7,1,0.85,1,,0.9011711128700721,0.3211772881257781,0.6086976403877812,0.2181387330221826,0.5799938247442941,0.6577596130752004,0.5186721125069292,1721
0.8,3,0.85,1,,0.903270431080289,0.3223078800060881,0.6130016449635627,0.21863036866117783,0.5809625510742009,0.6574381113631371,0.5204248634463406,1721
0.8,1,0.85,1,,0.9024230003496739,0.32264998550864654,0.6131581846221634,0.21892535004457497,0.5797730148410274,0.6545669535452493,0.5203188985109876,1718
0.8,3,0.9,1,,0.8288791072434165,0.24806543232663272,0.7776568734131302,0.1475693534008076,0.5808136749167838,0.8308728614983095,0.44645019169587485,2942
