rank_th (article),time_std (article),rank_th (event),time_std (event),language,SUM F1,F1 (standard),P (standard),R (standard),F1 (bcubed),P (bcubed),R (bcubed),clusters
0.8,3,,,,0.6174423875704101,0.18140285006384918,0.14821958580324407,0.2337301379201846,0.436039537506561,0.3789488736132091,0.5133834918573512,1161
0.9,1,,,,0.6571105729931841,0.15164809371053015,0.514271093927678,0.08893688709423672,0.505462479282654,0.8320108068172332,0.3629941992033824,4309
0.9,3,,,,0.6666971593336368,0.1561954261954262,0.3770829150772937,0.09849756148723059,0.5105017331382106,0.777843134893542,0.37992359678988763,3901
0.8,1,,,,0.7071344417281192,0.23299727780345889,0.26457232840645883,0.20815525197965284,0.4741371639246604,0.48681923406199457,0.46209907570135167,1622
