rank_th (article),time_std (article),rank_th (event),time_std (event),language,SUM F1,F1 (standard),P (standard),R (standard),F1 (bcubed),P (bcubed),R (bcubed),clusters
0.7,3,0.9,1,,0.8783523628153049,0.2846558272681348,0.7714451285766026,0.17452737427237924,0.5936965355471702,0.8285734391928898,0.46257089821623865,2930
0.7,1,0.9,1,,0.8746439256372673,0.2810455589473656,0.7708661070026611,0.17184959882531858,0.5935983666899017,0.8297235236753313,0.46209423288166274,2952
0.7,3,0.85,1,,0.9276255737134043,0.3403075528196319,0.6255010481444773,0.23373669306203787,0.5873180208937724,0.6647796012124282,0.5260244910006838,1748
0.8,1,0.9,1,,0.8298195326630268,0.24915271530958638,0.7853107344632768,0.14806426661072947,0.5806668173534404,0.8309965960478358,0.4462409869302099,2946
0.7,1,0.85,1,,0.9144817156455203,0.3338577106740266,0.5756427952364138,0.23510671770937122,0.5806240049714937,0.648644563831915,0.5255154639592475,1735
0.8,3,0.85,1,,0.9116519436640211,0.330867815746802,0.619460111000171,0.22571319943363574,0.5807841279172191,0.6557372475955496,0.5212081649693766,1720
0.8,1,0.85,1,,0.9109490989328061,0.3300981597449,0.6172503591954023,0.22529039278409985,0.5808509391879061,0.6547974213505098,0.5219113262364584,1717
0.8,3,0.9,1,,0.8311942834955601,0.24984772441012154,0.7852057167605024,0.1485591798206513,0.5813465590854386,0.8308464522110365,0.4470878512304545,2947
